observed	reference	prediction_mask_follow_up	reference_mask_follow_up	prediction_mask_follow_up_intensity	reference_mask_follow_up_intensity	prediction_make_bin_change	reference_make_bin_change	prediction_change_frequency	reference_change_frequency	prediction_transition	reference_transition	prediction_presence	reference_presence
3377	3377	33XX	33XX	33XX_E	33XX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
4377	4377	4XXX	4XXX	4XXX_E	4XXX_E	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
4446	4146	444X	4XXX	444X_E	4XXX_I	Changed	Changed	Shifted (1 Change)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Intermittent Presence
1446	1446	1XXX	1XXX	1XXX_I	1XXX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Eventual gain	Eventual gain
1447	1447	1XXX	1XXX	1XXX_I	1XXX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Eventual gain	Eventual gain
4445	4445	444X	444X	444X_E	444X_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
4447	4447	444X	444X	444X_E	444X_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
8811	8811	88XX	88XX	88XX_I	88XX_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
4411	4811	44XX	4XXX	44XX_I	4XXX_I	Changed	Changed	Shifted (1 Change)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2811	2811	2XXX	2XXX	2XXX_I	2XXX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2881	2811	2XXX	2XXX	2XXX_I	2XXX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
4811	4811	4XXX	4XXX	4XXX_I	4XXX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
1811	1811	1XXX	1XXX	1XXX_I	1XXX_I	Not changed	Not changed	Reverted (1 LU in between)	Reverted (1 LU in between)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Eventual loss	Eventual loss
9213	9213	9XXX	9XXX	9XXX_I	9XXX_I	Changed	Changed	Fully Dynamic (All Different)	Fully Dynamic (All Different)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Intermittent Presence	Intermittent Presence
1113	1213	111X	1XXX	111X_E	1XXX_I	Changed	Changed	Shifted (1 Change)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable gain	Eventual gain
1413	1213	1XXX	1XXX	1XXX_I	1XXX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Eventual gain	Eventual gain
2413	2213	2XXX	22XX	2XXX_I	22XX_I	Changed	Changed	Fully Dynamic (All Different)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Intermittent Presence	Intermittent Presence
2113	2213	2XXX	22XX	2XXX_I	22XX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Intermittent Presence	Intermittent Presence
1445	1945	1XXX	1XXX	1XXX_I	1XXX_E	Changed	Changed	Shifted (2 LU Changes)	Fully Dynamic (All Different)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Eventual gain	Eventual gain
2445	2445	2XXX	2XXX	2XXX_I	2XXX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
4145	4445	4XXX	444X	4XXX_I	444X_E	Changed	Changed	Shifted (2 LU Changes)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Intermittent Presence	Stable absence
2545	2445	2XXX	2XXX	2XXX_E	2XXX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
1445	1445	1XXX	1XXX	1XXX_I	1XXX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Eventual gain	Eventual gain
9445	9445	9XXX	9XXX	9XXX_I	9XXX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
2115	2415	2XXX	2XXX	2XXX_I	2XXX_I	Changed	Changed	Shifted (2 LU Changes)	Fully Dynamic (All Different)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Intermittent Presence	Intermittent Presence
4111	4111	4XXX	4XXX	4XXX_I	4XXX_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Eventual loss	Eventual loss
4415	4415	44XX	44XX	44XX_I	44XX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Intermittent Presence	Intermittent Presence
1115	1115	111X	111X	111X_E	111X_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable gain	Stable gain
2228	2291	222X	22XX	222X_E	22XX_I	Changed	Changed	Shifted (1 Change)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable loss
2221	2221	222X	222X	222X_I	222X_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
3228	3222	3XXX	3XXX	3XXX_I	3XXX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2411	2221	2XXX	222X	2XXX_I	222X_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
1455	1455	1XXX	1XXX	1XXX_I	1XXX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Eventual gain	Eventual gain
1455	1455	1XXX	1XXX	1XXX_I	1XXX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Eventual gain	Eventual gain
4455	4455	44XX	44XX	44XX_E	44XX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
3455	3455	3XXX	3XXX	3XXX_I	3XXX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
4455	4455	44XX	44XX	44XX_E	44XX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
4455	4425	44XX	44XX	44XX_E	44XX_I	Changed	Changed	Shifted (1 Change)	Shifted (2 LU Changes)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
4455	4455	44XX	44XX	44XX_E	44XX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
1455	1455	1XXX	1XXX	1XXX_I	1XXX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Eventual gain	Eventual gain
4455	4455	44XX	44XX	44XX_E	44XX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
4455	4455	44XX	44XX	44XX_E	44XX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
2455	2455	2XXX	2XXX	2XXX_I	2XXX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
2455	2455	2XXX	2XXX	2XXX_I	2XXX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
2255	2255	22XX	22XX	22XX_E	22XX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
4455	4455	44XX	44XX	44XX_E	44XX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
2455	2455	2XXX	2XXX	2XXX_I	2XXX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
4881	4281	4XXX	4XXX	4XXX_I	4XXX_I	Changed	Changed	Shifted (2 LU Changes)	Fully Dynamic (All Different)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2841	2281	2XXX	22XX	2XXX_I	22XX_I	Changed	Changed	Fully Dynamic (All Different)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2282	2282	22XX	22XX	22XX_I	22XX_I	Not changed	Not changed	Reverted (1 LU in between)	Reverted (1 LU in between)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2242	2282	22XX	22XX	22XX_I	22XX_I	Not changed	Not changed	Reverted (1 LU in between)	Reverted (1 LU in between)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
4337	4335	4XXX	4XXX	4XXX_E	4XXX_E	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
3337	3337	333X	333X	333X_E	333X_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3337	3327	333X	33XX	333X_E	33XX_I	Changed	Changed	Shifted (1 Change)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3335	3337	333X	333X	333X_E	333X_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2337	2337	2XXX	2XXX	2XXX_E	2XXX_E	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3337	3337	333X	333X	333X_E	333X_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3345	3345	33XX	33XX	33XX_E	33XX_E	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
9345	9345	9XXX	9XXX	9XXX_E	9XXX_E	Changed	Changed	Fully Dynamic (All Different)	Fully Dynamic (All Different)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
4345	4345	4XXX	4XXX	4XXX_E	4XXX_E	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
3445	3345	3XXX	33XX	3XXX_I	33XX_E	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
4421	4421	44XX	44XX	44XX_I	44XX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
4412	4442	44XX	444X	44XX_I	444X_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Intermittent Presence	Stable absence
1441	1441	1XXX	1XXX	1XXX_I	1XXX_I	Not changed	Not changed	Reverted (1 LU in between)	Reverted (1 LU in between)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
1442	1441	1XXX	1XXX	1XXX_I	1XXX_I	Changed	Not changed	Shifted (2 LU Changes)	Reverted (1 LU in between)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Eventual gain	Stable loss
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2821	2222	2XXX	2222	2XXX_I	2222_I	Changed	Not changed	Shifted (2 LU Changes)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3313	3323	33XX	33XX	33XX_I	33XX_I	Not changed	Not changed	Reverted (1 LU in between)	Reverted (1 LU in between)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Intermittent Presence	Stable absence
2311	2323	2XXX	2XXX	2XXX_I	2XXX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable absence
3323	3323	33XX	33XX	33XX_I	33XX_I	Not changed	Not changed	Reverted (1 LU in between)	Reverted (1 LU in between)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3523	3323	3XXX	33XX	3XXX_I	33XX_I	Not changed	Not changed	Reverted (2 LUs in between)	Reverted (1 LU in between)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
6666	6666	6666	6666	6666_E	6666_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3457	3457	3XXX	3XXX	3XXX_I	3XXX_I	Changed	Changed	Fully Dynamic (All Different)	Fully Dynamic (All Different)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
1455	1455	1XXX	1XXX	1XXX_I	1XXX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Eventual gain	Eventual gain
1457	1457	1XXX	1XXX	1XXX_I	1XXX_I	Changed	Changed	Fully Dynamic (All Different)	Fully Dynamic (All Different)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Eventual gain	Eventual gain
3331	3931	333X	3XXX	333X_I	3XXX_I	Changed	Changed	Shifted (1 Change)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
3333	3331	3333	333X	3333_E	333X_I	Not changed	Changed	Stable (No Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable loss
3331	3331	333X	333X	333X_I	333X_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2211	2228	22XX	222X	22XX_I	222X_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable absence
2228	2218	222X	22XX	222X_E	22XX_I	Changed	Changed	Shifted (1 Change)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Intermittent Presence
2218	2218	22XX	22XX	22XX_I	22XX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Intermittent Presence	Intermittent Presence
2212	2222	22XX	2222	22XX_I	2222_I	Not changed	Not changed	Reverted (1 LU in between)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Intermittent Presence	Stable absence
2212	2212	22XX	22XX	22XX_I	22XX_I	Not changed	Not changed	Reverted (1 LU in between)	Reverted (1 LU in between)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Intermittent Presence	Intermittent Presence
3212	3212	3XXX	3XXX	3XXX_I	3XXX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Intermittent Presence	Intermittent Presence
2218	2222	22XX	2222	22XX_I	2222_I	Changed	Not changed	Shifted (2 LU Changes)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Intermittent Presence	Stable absence
9412	9122	9XXX	9XXX	9XXX_I	9XXX_I	Changed	Changed	Fully Dynamic (All Different)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Intermittent Presence	Intermittent Presence
2211	2212	22XX	22XX	22XX_I	22XX_I	Changed	Not changed	Shifted (1 Change)	Reverted (1 LU in between)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Intermittent Presence
3111	3211	3XXX	3XXX	3XXX_I	3XXX_I	Changed	Changed	Shifted (1 Change)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Eventual loss	Stable loss
2212	2211	22XX	22XX	22XX_I	22XX_I	Not changed	Changed	Reverted (1 LU in between)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Intermittent Presence	Stable loss
4443	4449	444X	444X	444X_E	444X_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
4444	4449	4444	444X	4444_E	444X_E	Not changed	Changed	Stable (No Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
4444	4449	4444	444X	4444_E	444X_E	Not changed	Changed	Stable (No Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3444	3449	3XXX	3XXX	3XXX_I	3XXX_I	Changed	Changed	Shifted (1 Change)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
1449	1449	1XXX	1XXX	1XXX_I	1XXX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Eventual gain	Eventual gain
0449	4449	0XXX	444X	0XXX_I	444X_E	Changed	Changed	Shifted (2 LU Changes)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
4429	4449	44XX	444X	44XX_I	444X_E	Changed	Changed	Shifted (2 LU Changes)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
9449	9449	9XXX	9XXX	9XXX_I	9XXX_I	Not changed	Not changed	Reverted (1 LU in between)	Reverted (1 LU in between)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
9444	9449	9XXX	9XXX	9XXX_I	9XXX_I	Changed	Not changed	Shifted (1 Change)	Reverted (1 LU in between)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2211	2211	22XX	22XX	22XX_I	22XX_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2211	2511	22XX	2XXX	22XX_I	2XXX_I	Changed	Changed	Shifted (1 Change)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable loss	Stable loss
1211	1111	1XXX	1111	1XXX_I	1111_I	Not changed	Not changed	Reverted (1 LU in between)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Eventual loss	Stable presence
2211	2211	22XX	22XX	22XX_I	22XX_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2211	2211	22XX	22XX	22XX_I	22XX_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
4211	4211	4XXX	4XXX	4XXX_I	4XXX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2211	2211	22XX	22XX	22XX_I	22XX_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2211	2211	22XX	22XX	22XX_I	22XX_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2211	2211	22XX	22XX	22XX_I	22XX_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2211	2211	22XX	22XX	22XX_I	22XX_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
4218	4211	4XXX	4XXX	4XXX_I	4XXX_I	Changed	Changed	Fully Dynamic (All Different)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Intermittent Presence	Stable loss
2213	2213	22XX	22XX	22XX_I	22XX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Intermittent Presence	Intermittent Presence
2211	2211	22XX	22XX	22XX_I	22XX_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2211	2212	22XX	22XX	22XX_I	22XX_I	Changed	Not changed	Shifted (1 Change)	Reverted (1 LU in between)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Intermittent Presence
0342	3349	0XXX	33XX	0XXX_I	33XX_E	Changed	Changed	Fully Dynamic (All Different)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
9493	9349	9XXX	9XXX	9XXX_I	9XXX_E	Changed	Not changed	Shifted (2 LU Changes)	Reverted (2 LUs in between)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
